Scenario,Best_Model,Best_ROC_AUC,Best_ROC_AUC_Std,Num_Models_Tested
No_FE,GBM,0.8454837895507838,0.01283180920448409,10
FE_Only,LogisticRegression,0.8445316439027459,0.015611391380345882,10
FE_SMOTE,CatBoost,0.9355931867189374,0.007484608836394405,10
