Model,Scenario,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
XGBoost,FE_SMOTE,2,0.9317541715378893,0.8505154639175257,0.8569553805774278,0.8414948453608248,0.8491547464239272
XGBoost,FE_SMOTE,3,0.929387753746413,0.8472938144329897,0.8433121019108281,0.8530927835051546,0.8481742472773863
XGBoost,FE_SMOTE,4,0.924967949569561,0.8402061855670103,0.8291770573566085,0.8569587628865979,0.8428390367553865
XGBoost,FE_SMOTE,5,0.9389630274205548,0.8608247422680413,0.8626943005181347,0.8582474226804123,0.8604651162790697
RandomForest,FE_SMOTE,1,0.9397970319362072,0.8647778493238892,0.8428053204353083,0.8970398970398971,0.8690773067331671
RandomForest,FE_SMOTE,2,0.9238951735040919,0.8492268041237113,0.8519480519480519,0.845360824742268,0.8486416558861578
RandomForest,FE_SMOTE,3,0.918260608194282,0.842139175257732,0.8348045397225725,0.8530927835051546,0.8438495857233907
RandomForest,FE_SMOTE,4,0.9077362764374536,0.8337628865979382,0.8197530864197531,0.8556701030927835,0.8373266078184111
RandomForest,FE_SMOTE,5,0.9280957726644702,0.8582474226804123,0.8619791666666666,0.8530927835051546,0.8575129533678757
LogisticRegression,FE_SMOTE,1,0.8729650121402699,0.7926593689632968,0.7711561382598331,0.8326898326898327,0.8007425742574258
LogisticRegression,FE_SMOTE,2,0.858707421086194,0.7815721649484536,0.7591933570581257,0.8247422680412371,0.7906114885731933
LogisticRegression,FE_SMOTE,3,0.8427013032734616,0.7577319587628866,0.7375296912114014,0.8002577319587629,0.7676143386897404
LogisticRegression,FE_SMOTE,4,0.83760063503029,0.7525773195876289,0.7258064516129032,0.8118556701030928,0.7664233576642335
LogisticRegression,FE_SMOTE,5,0.8671850090339036,0.7860824742268041,0.7803030303030303,0.7963917525773195,0.7882653061224489
SVC,FE_SMOTE,1,0.8959850867067362,0.8100450740502254,0.7848699763593381,0.8545688545688546,0.818237831176833
SVC,FE_SMOTE,2,0.8891021893931343,0.8028350515463918,0.7790973871733967,0.845360824742268,0.8108776266996292
SVC,FE_SMOTE,3,0.8740135774258688,0.7757731958762887,0.7584541062801933,0.8092783505154639,0.7830423940149626
SVC,FE_SMOTE,4,0.8723944494632798,0.782860824742268,0.760998810939358,0.8247422680412371,0.7915893630179345
SVC,FE_SMOTE,5,0.9010621479434583,0.8086340206185567,0.8043202033036849,0.8157216494845361,0.8099808061420346
NeuralNet,FE_SMOTE,1,0.8802740516658043,0.7920154539600772,0.7830423940149626,0.8082368082368082,0.7954401519949335
NeuralNet,FE_SMOTE,2,0.8707354660431502,0.791881443298969,0.760644418872267,0.8518041237113402,0.8036474164133739
NeuralNet,FE_SMOTE,3,0.8720847393453077,0.8105670103092784,0.7701793721973094,0.8853092783505154,0.8237410071942446
NeuralNet,FE_SMOTE,4,0.8552781910936337,0.779639175257732,0.744920993227991,0.8505154639175257,0.7942238267148014
NeuralNet,FE_SMOTE,5,0.8735170448506748,0.7847938144329897,0.7735148514851485,0.8054123711340206,0.7891414141414141
AdaBoost,FE_SMOTE,1,0.9326165266886918,0.8557630392788153,0.8303464755077659,0.8944658944658944,0.8612143742255266
AdaBoost,FE_SMOTE,2,0.9151269728451482,0.8247422680412371,0.8014354066985646,0.8634020618556701,0.8312655086848635
AdaBoost,FE_SMOTE,3,0.9096617932298863,0.8324742268041238,0.8056872037914692,0.8762886597938144,0.8395061728395061
AdaBoost,FE_SMOTE,4,0.9018335171112765,0.803479381443299,0.7767332549941246,0.8518041237113402,0.8125384142593731
AdaBoost,FE_SMOTE,5,0.9196040692422149,0.8344072164948454,0.822360248447205,0.8530927835051546,0.8374446552814674
LightGBM,FE_SMOTE,1,0.9450146943703644,0.8641339343206696,0.8511166253101737,0.8828828828828829,0.866708780795957
LightGBM,FE_SMOTE,2,0.934749973429695,0.8524484536082474,0.859395532194481,0.8427835051546392,0.8510084580351334
LightGBM,FE_SMOTE,3,0.9307611063875013,0.8395618556701031,0.8391248391248392,0.8402061855670103,0.8396651641983258
LightGBM,FE_SMOTE,4,0.9272662809544054,0.8434278350515464,0.8360655737704918,0.854381443298969,0.8451242829827916
LightGBM,FE_SMOTE,5,0.9405281844510576,0.8621134020618557,0.8716931216931217,0.8492268041237113,0.860313315926893
CatBoost,FE_SMOTE,1,0.9473614815109661,0.8718609143593046,0.8567901234567902,0.8931788931788932,0.8746061751732829
CatBoost,FE_SMOTE,2,0.9365135774258688,0.8537371134020618,0.8560311284046692,0.8505154639175257,0.8532643826761473
CatBoost,FE_SMOTE,3,0.9340126474651929,0.865979381443299,0.8576826196473551,0.8775773195876289,0.867515923566879
CatBoost,FE_SMOTE,4,0.9232300855563822,0.8447164948453608,0.8416347381864623,0.8492268041237113,0.8454137267479154
CatBoost,FE_SMOTE,5,0.9451281685088744,0.8737113402061856,0.8776041666666666,0.8685567010309279,0.8730569948186528
