Scenario,Accuracy,Precision,Recall,F1,ROC_AUC
No Feature Engineering,0.7847813742191937,0.6170212765957447,0.49678800856531047,0.5504151838671412,0.8248811017080976
Feature Engineering,0.7802385008517888,0.6104972375690608,0.4732334047109208,0.5331724969843185,0.8239866754482059
Feature Engineering + SMOTE,0.8577502899110939,0.8560431100846805,0.860015467904099,0.8580246913580247,0.938701855550814
