iter	Logloss
0	0.6695049521
1	0.6439928369
2	0.6226349071
3	0.60292626
4	0.588613909
5	0.5735385868
6	0.5605526405
7	0.5505853488
8	0.5419529645
9	0.5319234705
10	0.5238836213
11	0.517706875
12	0.510740163
13	0.5039215946
14	0.4971672207
15	0.4914848306
16	0.4871071984
17	0.4821977774
18	0.4760706938
19	0.4697975746
20	0.465537485
21	0.4608430174
22	0.4561128692
23	0.4536530494
24	0.4502341975
25	0.446317444
26	0.442988896
27	0.4387947536
28	0.435329621
29	0.4338367959
30	0.4297848838
31	0.4258113767
32	0.424133452
33	0.4204826904
34	0.4184816624
35	0.4164413896
36	0.4150930034
37	0.4119442486
38	0.409579646
39	0.4076232581
40	0.4061238626
41	0.404338748
42	0.4023327676
43	0.4015911809
44	0.4007425639
45	0.3994354049
46	0.3975351296
47	0.3967123039
48	0.395511289
49	0.3940699331
50	0.393217743
51	0.3920167211
52	0.3900733233
53	0.3870073043
54	0.3850777582
55	0.3833933938
56	0.3819989688
57	0.3813472281
58	0.380190285
59	0.3790965751
60	0.376247855
61	0.3754960687
62	0.3744810044
63	0.3735168934
64	0.3719024793
65	0.3711533457
66	0.3700924471
67	0.3689153089
68	0.3676078803
69	0.3670033861
70	0.3661269643
71	0.3656063944
72	0.3649252505
73	0.3643090907
74	0.3637852687
75	0.3629396654
76	0.3624807938
77	0.361610753
78	0.3607730284
79	0.3602477593
80	0.3595530234
81	0.3590219073
82	0.3584426302
83	0.3570039405
84	0.3556205119
85	0.3553472627
86	0.3550077268
87	0.3537988318
88	0.3534187038
89	0.352649767
90	0.3520051396
91	0.3516781343
92	0.3507204121
93	0.3501676531
94	0.3497213764
95	0.3492184146
96	0.348672484
97	0.3476328333
98	0.3468651489
99	0.3465610348
100	0.3460746687
101	0.3457361287
102	0.3446504371
103	0.3441155905
104	0.3436484626
105	0.3431583775
106	0.3427722429
107	0.3423580514
108	0.341751524
109	0.3412814694
110	0.3407787981
111	0.3403061824
112	0.3398512128
113	0.3393611652
114	0.3391153489
115	0.3382354966
116	0.3379598402
117	0.3374937977
118	0.3371509057
119	0.3367989023
120	0.3364644895
121	0.3351957418
122	0.3348473234
123	0.3346132831
124	0.3343320855
125	0.3333599192
126	0.3331547455
127	0.3327940874
128	0.3322424109
129	0.3319355775
130	0.3311674923
131	0.3307375009
132	0.3303431879
133	0.3300677732
134	0.3293408897
135	0.3289981037
136	0.3282206735
137	0.3279203593
138	0.327418002
139	0.3270509053
140	0.3267147691
141	0.3265109478
142	0.3261708534
143	0.3259244249
144	0.3255772423
145	0.3251461134
146	0.3246325665
147	0.323873225
148	0.3233691335
149	0.3228012914
150	0.3223685871
151	0.3220296054
152	0.3217454678
153	0.3213975162
154	0.3211390835
155	0.3208564357
156	0.3205327018
157	0.3202120744
158	0.3199002069
159	0.3195605102
160	0.3192944684
161	0.3191104457
162	0.3187819394
163	0.3184665571
164	0.3182500871
165	0.3175702161
166	0.3171886278
167	0.3169622962
168	0.3164978901
169	0.31621682
170	0.3158940425
171	0.3153103762
172	0.3147809527
173	0.3139773902
174	0.3136453028
175	0.3132069735
176	0.3129948367
177	0.3122129089
178	0.3116120617
179	0.3114607826
180	0.3111853804
181	0.3109735044
182	0.3106555058
183	0.3098126315
184	0.3096415949
185	0.3094092815
186	0.3091622633
187	0.3089046305
188	0.3083831191
189	0.3079867889
190	0.3077701296
191	0.3070451011
192	0.3068321414
193	0.3065450477
194	0.3061281197
195	0.3057927876
196	0.3055745819
197	0.3052714866
198	0.3049181313
199	0.3045589991
200	0.3042144841
201	0.3038434644
202	0.3035323201
203	0.3032773536
204	0.3030893948
205	0.3028081334
206	0.3024741921
207	0.3022882788
208	0.30209536
209	0.3016050183
210	0.3009639243
211	0.3003505974
212	0.3000493512
213	0.2998897628
214	0.2996734705
215	0.2994754049
216	0.2993441893
217	0.2989714734
218	0.2987307157
219	0.2985487053
220	0.2982982119
221	0.2979322109
222	0.297572846
223	0.296999097
224	0.2966965127
225	0.2963671707
226	0.2961063331
227	0.2958908568
228	0.2957062906
229	0.295532688
230	0.2950030398
231	0.29478561
232	0.2946160303
233	0.2941948842
234	0.2936184419
235	0.2933047906
236	0.2929278829
237	0.2927067801
238	0.292417605
239	0.2921172262
240	0.2918536901
241	0.291555454
242	0.2910928819
243	0.2906472859
244	0.2902441757
245	0.290055996
246	0.2898135772
247	0.2896030106
248	0.2895147854
249	0.2887864583
250	0.2886433119
251	0.2880926095
252	0.2876076136
253	0.2871690032
254	0.2867824526
255	0.2864544205
256	0.2861310129
257	0.2860228745
258	0.2858211281
259	0.2852344277
260	0.2849977873
261	0.2848276416
262	0.284658234
263	0.2842853434
264	0.2841172331
265	0.2838768008
266	0.2833976005
267	0.2832301255
268	0.2829953999
269	0.2827660636
270	0.2823924626
271	0.2821519222
272	0.2818354825
273	0.2815323021
274	0.2811981014
275	0.2809244146
276	0.2807057077
277	0.2804762033
278	0.2803373753
279	0.2799887055
280	0.2797250633
281	0.2794190255
282	0.2792854176
283	0.2791337536
284	0.2788302095
285	0.2785864006
286	0.2783345559
287	0.2780291214
288	0.2777654028
289	0.2775564544
290	0.2773776592
291	0.2771518816
292	0.2768198944
293	0.2764101744
294	0.2761492448
295	0.2758404105
296	0.2755663877
297	0.2753324002
298	0.2751774162
299	0.2747978269
300	0.2745735253
301	0.2743908876
302	0.2742760146
303	0.2740591605
304	0.2739151794
305	0.273613386
306	0.2732622711
307	0.2731499768
308	0.27291367
309	0.2726292414
310	0.2724714266
311	0.2723029966
312	0.2721261771
313	0.2719095567
314	0.2717092842
315	0.2715865928
316	0.2712970766
317	0.2710047027
318	0.2706967927
319	0.2703102308
320	0.2701674991
321	0.2698380256
322	0.2697053615
323	0.2692956616
324	0.2690778732
325	0.2688716449
326	0.2687554496
327	0.2685294952
328	0.2684183321
329	0.2681141381
330	0.2678370192
331	0.2675617312
332	0.2673949571
333	0.2671513251
334	0.2669845988
335	0.2668586939
336	0.2667021361
337	0.2665238462
338	0.2662604334
339	0.2660805633
340	0.2659775366
341	0.2656539504
342	0.2655017348
343	0.2652040439
344	0.2646649837
345	0.2644314918
346	0.2642152789
347	0.2639601187
348	0.2636791743
349	0.2635086139
350	0.2633673476
351	0.2630211241
352	0.262817124
353	0.2625365904
354	0.2622038724
355	0.2619729577
356	0.2618250911
357	0.2617183714
358	0.2614087681
359	0.2611202626
360	0.2608651663
361	0.2605372899
362	0.2602440399
363	0.2599609021
364	0.2597424764
365	0.2595681146
366	0.2593933595
367	0.2591601135
368	0.2589020049
369	0.2587757071
370	0.2585346291
371	0.2582718134
372	0.2579856703
373	0.2578521798
374	0.25763784
375	0.2574894444
376	0.2572767948
377	0.2570953112
378	0.2568591523
379	0.2566701142
380	0.2564228077
381	0.2562641017
382	0.2560326024
383	0.2557567086
384	0.2556705148
385	0.2554657251
386	0.2553037702
387	0.2549739309
388	0.2548173645
389	0.2546140615
390	0.2544224678
391	0.2543602619
392	0.2540795145
393	0.253896491
394	0.2537177871
395	0.2534718885
396	0.2532593938
397	0.2529515352
398	0.25278034
399	0.2525863915
400	0.2524266292
401	0.2521925979
402	0.2520548295
403	0.251817153
404	0.2516033906
405	0.2513622205
406	0.2511277823
407	0.2510293051
408	0.2508471747
409	0.2506670105
410	0.2505812956
411	0.2504827773
412	0.2503850253
413	0.2499529693
414	0.2497410376
415	0.2496036797
416	0.2495060582
417	0.2493456984
418	0.2492605513
419	0.249104863
420	0.2489294474
421	0.2487244247
422	0.2485205896
423	0.2483799814
424	0.2481230882
425	0.2479477701
426	0.247714065
427	0.2475278801
428	0.2474050713
429	0.2473355073
430	0.2471257028
431	0.2470095303
432	0.2468513867
433	0.2467205856
434	0.2465759106
435	0.246403817
436	0.2461375074
437	0.2458314627
438	0.2455857388
439	0.2454062835
440	0.2452643287
441	0.2450071143
442	0.2448357889
443	0.2447128079
444	0.2445285582
445	0.2443115494
446	0.2441179829
447	0.2439849553
448	0.2436848508
449	0.2434322161
450	0.2432770314
451	0.2431789435
452	0.2430699549
453	0.2430006843
454	0.2427843162
455	0.2427248535
